"","key","value","Sex","Treatment","Age","Setting","ValueType"
"1","X1",0.248796238716807,1,"AE",0,"AE","Activities"
"2","X1",0.249088902471362,1,"AE",1,"AE","Activities"
"3","X1",0.24977547654167,1,"AE",2,"AE","Activities"
"4","X1",0.250638164019443,1,"AE",3,"AE","Activities"
"5","X1",0.251459167996395,1,"AE",4,"AE","Activities"
"6","X1",0.252062037322405,1,"AE",5,"AE","Activities"
"7","X1",0.252435703880021,1,"AE",6,"AE","Activities"
"8","X1",0.252610445309954,1,"AE",7,"AE","Activities"
"9","X1",0.252616539252918,1,"AE",8,"AE","Activities"
"10","X1",0.252484263349625,1,"AE",9,"AE","Activities"
"11","X1",0.252243895240789,1,"AE",10,"AE","Activities"
"12","X1",0.251925712567122,1,"AE",11,"AE","Activities"
"13","X1",0.251559992969338,1,"AE",12,"AE","Activities"
"14","X1",0.251177014088148,1,"AE",13,"AE","Activities"
"15","X1",0.250807053564267,1,"AE",14,"AE","Activities"
"16","X1",0.250475054146323,1,"AE",15,"AE","Activities"
"17","X1",0.250184619014606,1,"AE",16,"AE","Activities"
"18","X1",0.249934016457323,1,"AE",17,"AE","Activities"
"19","X1",0.249721514762681,1,"AE",18,"AE","Activities"
"20","X1",0.249545382218884,1,"AE",19,"AE","Activities"
"21","X1",0.249403887114141,1,"AE",20,"AE","Activities"
"22","X1",0.249295297736657,1,"AE",21,"AE","Activities"
"23","X1",0.249217882374639,1,"AE",22,"AE","Activities"
"24","X1",0.249169909316293,1,"AE",23,"AE","Activities"
"25","X1",0.249149646849825,1,"AE",24,"AE","Activities"
"26","X1",0.249155363263442,1,"AE",25,"AE","Activities"
"27","X1",0.24918532684535,1,"AE",26,"AE","Activities"
"28","X1",0.249237805883755,1,"AE",27,"AE","Activities"
"29","X1",0.249311068666865,1,"AE",28,"AE","Activities"
"30","X1",0.249403383482884,1,"AE",29,"AE","Activities"
"31","X1",0.249513018620021,1,"AE",30,"AE","Activities"
"32","X1",0.24963824236648,1,"AE",31,"AE","Activities"
"33","X1",0.249777323010469,1,"AE",32,"AE","Activities"
"34","X1",0.249928528840193,1,"AE",33,"AE","Activities"
"35","X1",0.25009012814386,1,"AE",34,"AE","Activities"
"36","X1",0.250260200515342,1,"AE",35,"AE","Activities"
"37","X1",0.250436070771186,1,"AE",36,"AE","Activities"
"38","X1",0.250614875033604,1,"AE",37,"AE","Activities"
"39","X1",0.250793749424808,1,"AE",38,"AE","Activities"
"40","X1",0.250969830067012,1,"AE",39,"AE","Activities"
"41","X1",0.251140253082428,1,"AE",40,"AE","Activities"
"42","X1",0.251302154593269,1,"AE",41,"AE","Activities"
"43","X1",0.251452670721747,1,"AE",42,"AE","Activities"
"44","X1",0.251588937590077,1,"AE",43,"AE","Activities"
"45","X1",0.251708091320469,1,"AE",44,"AE","Activities"
"46","X1",0.251807268035137,1,"AE",45,"AE","Activities"
"47","X1",0.251883603856293,1,"AE",46,"AE","Activities"
"48","X1",0.251934234906152,1,"AE",47,"AE","Activities"
"49","X1",0.251956297306924,1,"AE",48,"AE","Activities"
"50","X1",0.251946927180823,1,"AE",49,"AE","Activities"
"51","X1",0.251903260650062,1,"AE",50,"AE","Activities"
"52","X1",0.251822433836853,1,"AE",51,"AE","Activities"
"53","X1",0.251701582863409,1,"AE",52,"AE","Activities"
"54","X1",0.251537843851944,1,"AE",53,"AE","Activities"
"55","X1",0.251328352924668,1,"AE",54,"AE","Activities"
"56","X1",0.251072763078876,1,"AE",55,"AE","Activities"
"57","X1",0.250780794812175,1,"AE",56,"AE","Activities"
"58","X1",0.250464685497255,1,"AE",57,"AE","Activities"
"59","X1",0.250136672506804,1,"AE",58,"AE","Activities"
"60","X1",0.249808993213511,1,"AE",59,"AE","Activities"
"61","X1",0.249493884990064,1,"AE",60,"AE","Activities"
"62","X1",0.249203585209151,1,"AE",61,"AE","Activities"
"63","X1",0.248950331243462,1,"AE",62,"AE","Activities"
"64","X1",0.248746360465685,1,"AE",63,"AE","Activities"
"65","X1",0.248603910248508,1,"AE",64,"AE","Activities"
"66","X1",0.248531750069653,1,"AE",65,"AE","Activities"
"67","X1",0.248524777826968,1,"AE",66,"AE","Activities"
"68","X1",0.248574423523336,1,"AE",67,"AE","Activities"
"69","X1",0.248672117161639,1,"AE",68,"AE","Activities"
"70","X1",0.248809288744758,1,"AE",69,"AE","Activities"
"71","X1",0.248977368275575,1,"AE",70,"AE","Activities"
"72","X1",0.249167785756972,1,"AE",71,"AE","Activities"
"73","X1",0.249371971191831,1,"AE",72,"AE","Activities"
"74","X1",0.249581354583034,1,"AE",73,"AE","Activities"
"75","X1",0.249787365933462,1,"AE",74,"AE","Activities"
"76","X1",0.249981435245997,1,"AE",75,"AE","Activities"
"77","X1",0.250154992523522,1,"AE",76,"AE","Activities"
"78","X1",0.250299467768917,1,"AE",77,"AE","Activities"
"79","X1",0.250406290985066,1,"AE",78,"AE","Activities"
"80","X1",0.250466892174849,1,"AE",79,"AE","Activities"
"81","X1",0.250472701341148,1,"AE",80,"AE","Activities"
"82","X1",0.250420175623182,1,"AE",81,"AE","Activities"
"83","X1",0.250325880705516,1,"AE",82,"AE","Activities"
"84","X1",0.250211409409051,1,"AE",83,"AE","Activities"
"85","X1",0.250098354554688,1,"AE",84,"AE","Activities"
"86","X1",0.250008308963328,1,"AE",85,"AE","Activities"
"87","X1",0.249962865455874,1,"AE",86,"AE","Activities"
"88","X1",0.249983616853225,1,"AE",87,"AE","Activities"
"89","X1",0.250092155976283,1,"AE",88,"AE","Activities"
"90","X1",0.25031007564595,1,"AE",89,"AE","Activities"
"91","X1",0.250658968683127,1,"AE",90,"AE","Activities"
"92","X2",0.247732976320396,1,"AE",0,"AE","Cost"
"93","X2",0.249834670136044,1,"AE",1,"AE","Cost"
"94","X2",0.251054885131028,1,"AE",2,"AE","Cost"
"95","X2",0.25167186102972,1,"AE",3,"AE","Cost"
"96","X2",0.251963837556491,1,"AE",4,"AE","Cost"
"97","X2",0.25216326754932,1,"AE",5,"AE","Cost"
"98","X2",0.252319456300613,1,"AE",6,"AE","Cost"
"99","X2",0.252435922216384,1,"AE",7,"AE","Cost"
"100","X2",0.252516183702644,1,"AE",8,"AE","Cost"
"101","X2",0.252563759165407,1,"AE",9,"AE","Cost"
"102","X2",0.252582167010685,1,"AE",10,"AE","Cost"
"103","X2",0.252574925644493,1,"AE",11,"AE","Cost"
